"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"24005003832","","","","","2010-09-09 12:33:28 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Video: Cache Rules Everything Around Me http://tumblr.com/xozi1t5j8"
"23947050180","","","","","2010-09-08 20:58:36 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Map Envelope - Print envelopes with a custom Google map as the inside liner. Cool idea for invitations to an... http://tumblr.com/xozhzr7w5"
"23930102333","","","","","2010-09-08 16:46:46 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","App Spotlight - Solipskier - I have a new obsession and it is called Solipskier. I originally began playing... http://tumblr.com/xozhz8q7m"
"23925172131","","","","","2010-09-08 15:46:21 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: Making a product better often involves taking things away, constantly trimming the unnecessary. http://tumblr.com/xozhz4eak"
"23924605603","","","","","2010-09-08 15:39:57 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Lose Your Illusion - ? All this leads me to wonder if giving people the illusion of experiences is the most... http://tumblr.com/xozhz3xm4"
"23918448425","","","","","2010-09-08 14:27:22 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Sunday Setlist 9-5-10 - ? ?For where two or three gather together as my followers, I am there among them.? -... http://tumblr.com/xozhyytat"
"23911806683","","","","","2010-09-08 13:02:16 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Google Logo - The Google logo this morning is another great interactive piece. This time it starts off... http://tumblr.com/xozhysnwa"
"23266755736","","","","","2010-09-07 20:05:02 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Tony Hseih stops by the 37 Signals Office - Excellent notes from the Q/A session by the honorable Tim... http://tumblr.com/xozhwi053"
"23266424684","","","","","2010-09-07 19:59:48 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","PaintbrushJS - Browser-based image processing including tonal adjustments and gaussian blur. Now I want to... http://tumblr.com/xozhwhh4f"
"23261631933","","","","","2010-09-07 18:45:13 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Video: Ben Folds, Nick Hornby, & Pomplamoose team up. Absolute awesomesauce. http://tumblr.com/xozhwaxeg"
